# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
24A0;0028 0065 0029;(⒠) ((e));(PARENTHESIZED LATIN SMALL LETTER E) (LEFT PARENTHESIS  LATIN SMALL LETTER E  RIGHT PARENTHESIS)
24A1;0028 0066 0029;(⒡) ((f));(PARENTHESIZED LATIN SMALL LETTER F) (LEFT PARENTHESIS  LATIN SMALL LETTER F  RIGHT PARENTHESIS)
24A2;0028 0067 0029;(⒢) ((g));(PARENTHESIZED LATIN SMALL LETTER G) (LEFT PARENTHESIS  LATIN SMALL LETTER G  RIGHT PARENTHESIS)
24A3;0028 0068 0029;(⒣) ((h));(PARENTHESIZED LATIN SMALL LETTER H) (LEFT PARENTHESIS  LATIN SMALL LETTER H  RIGHT PARENTHESIS)
24A4;0028 0069 0029;(⒤) ((i));(PARENTHESIZED LATIN SMALL LETTER I) (LEFT PARENTHESIS  LATIN SMALL LETTER I  RIGHT PARENTHESIS)
24A5;0028 006A 0029;(⒥) ((j));(PARENTHESIZED LATIN SMALL LETTER J) (LEFT PARENTHESIS  LATIN SMALL LETTER J  RIGHT PARENTHESIS)
24A6;0028 006B 0029;(⒦) ((k));(PARENTHESIZED LATIN SMALL LETTER K) (LEFT PARENTHESIS  LATIN SMALL LETTER K  RIGHT PARENTHESIS)
24A7;0028 006C 0029;(⒧) ((l));(PARENTHESIZED LATIN SMALL LETTER L) (LEFT PARENTHESIS  LATIN SMALL LETTER L  RIGHT PARENTHESIS)
24A8;0028 006D 0029;(⒨) ((m));(PARENTHESIZED LATIN SMALL LETTER M) (LEFT PARENTHESIS  LATIN SMALL LETTER M  RIGHT PARENTHESIS)
24A9;0028 006E 0029;(⒩) ((n));(PARENTHESIZED LATIN SMALL LETTER N) (LEFT PARENTHESIS  LATIN SMALL LETTER N  RIGHT PARENTHESIS)
24AA;0028 006F 0029;(⒪) ((o));(PARENTHESIZED LATIN SMALL LETTER O) (LEFT PARENTHESIS  LATIN SMALL LETTER O  RIGHT PARENTHESIS)
24AB;0028 0070 0029;(⒫) ((p));(PARENTHESIZED LATIN SMALL LETTER P) (LEFT PARENTHESIS  LATIN SMALL LETTER P  RIGHT PARENTHESIS)
24AC;0028 0071 0029;(⒬) ((q));(PARENTHESIZED LATIN SMALL LETTER Q) (LEFT PARENTHESIS  LATIN SMALL LETTER Q  RIGHT PARENTHESIS)
24AD;0028 0072 0029;(⒭) ((r));(PARENTHESIZED LATIN SMALL LETTER R) (LEFT PARENTHESIS  LATIN SMALL LETTER R  RIGHT PARENTHESIS)
24AE;0028 0073 0029;(⒮) ((s));(PARENTHESIZED LATIN SMALL LETTER S) (LEFT PARENTHESIS  LATIN SMALL LETTER S  RIGHT PARENTHESIS)
24AF;0028 0074 0029;(⒯) ((t));(PARENTHESIZED LATIN SMALL LETTER T) (LEFT PARENTHESIS  LATIN SMALL LETTER T  RIGHT PARENTHESIS)
24B0;0028 0075 0029;(⒰) ((u));(PARENTHESIZED LATIN SMALL LETTER U) (LEFT PARENTHESIS  LATIN SMALL LETTER U  RIGHT PARENTHESIS)
24B1;0028 0076 0029;(⒱) ((v));(PARENTHESIZED LATIN SMALL LETTER V) (LEFT PARENTHESIS  LATIN SMALL LETTER V  RIGHT PARENTHESIS)
24B2;0028 0077 0029;(⒲) ((w));(PARENTHESIZED LATIN SMALL LETTER W) (LEFT PARENTHESIS  LATIN SMALL LETTER W  RIGHT PARENTHESIS)
24B3;0028 0078 0029;(⒳) ((x));(PARENTHESIZED LATIN SMALL LETTER X) (LEFT PARENTHESIS  LATIN SMALL LETTER X  RIGHT PARENTHESIS)
24B4;0028 0079 0029;(⒴) ((y));(PARENTHESIZED LATIN SMALL LETTER Y) (LEFT PARENTHESIS  LATIN SMALL LETTER Y  RIGHT PARENTHESIS)
24B5;0028 007A 0029;(⒵) ((z));(PARENTHESIZED LATIN SMALL LETTER Z) (LEFT PARENTHESIS  LATIN SMALL LETTER Z  RIGHT PARENTHESIS)
2768;0028;(❨) (();(MEDIUM LEFT PARENTHESIS ORNAMENT) (LEFT PARENTHESIS)
2772;0028;(❲) (();(LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT) (LEFT PARENTHESIS)
3014;0028;(〔) (();(LEFT TORTOISE SHELL BRACKET) (LEFT PARENTHESIS)
FD3E;0028;(﴾) (();(ORNATE LEFT PARENTHESIS) (LEFT PARENTHESIS)
FE35;0028;(︵) (();(PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS) (LEFT PARENTHESIS)
FE59;0028;(﹙) (();(SMALL LEFT PARENTHESIS) (LEFT PARENTHESIS)
FF08;0028;(（) (();(FULLWIDTH LEFT PARENTHESIS) (LEFT PARENTHESIS)
207E;0029;(⁾) ());(SUPERSCRIPT RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
208E;0029;(₎) ());(SUBSCRIPT RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
2769;0029;(❩) ());(MEDIUM RIGHT PARENTHESIS ORNAMENT) (RIGHT PARENTHESIS)
2773;0029;(❳) ());(LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT) (RIGHT PARENTHESIS)
3015;0029;(〕) ());(RIGHT TORTOISE SHELL BRACKET) (RIGHT PARENTHESIS)
FD3F;0029;(﴿) ());(ORNATE RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
FE36;0029;(︶) ());(PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
FE5A;0029;(﹚) ());(SMALL RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
FF09;0029;(）) ());(FULLWIDTH RIGHT PARENTHESIS) (RIGHT PARENTHESIS)
066D;002A;(٭) (*);(ARABIC FIVE POINTED STAR) (ASTERISK)
204E;002A;(⁎) (*);(LOW ASTERISK) (ASTERISK)
2217;002A;(∗) (*);(ASTERISK OPERATOR) (ASTERISK)
